id,name,common_name
964,background,background
0,Haemorhous cassinii,Cassin's finch
1,Aramus guarauna,Limpkin
2,Rupornis magnirostris,Roadside hawk
3,Cyanocitta cristata,Blue jay
4,Cyanocitta stelleri,Steller's jay
5,Balearica regulorum,Grey crowned crane
6,Pyrocephalus rubinus,Scarlet flycatcher
7,Recurvirostra americana,American avocet
8,Ardeotis kori,Kori bustard
9,Pica nuttalli,Yellow-billed magpie
10,Perisoreus canadensis,Canada jay
11,Antigone canadensis,Sandhill crane
12,Parkesia noveboracensis,Northern waterthrush
13,Ardea herodias occidentalis,Great blue heron
14,Porzana carolina,Sora (bird)
15,Anas platyrhynchos diazi,Mexican duck
16,Motacilla cinerea,Grey wagtail
17,Empidonax difficilis,Pacific-slope flycatcher
18,Empidonax minimus,Least flycatcher
19,Empidonax fulvifrons,Buff-breasted flycatcher
20,Empidonax traillii,Willow flycatcher
21,Empidonax hammondii,Hammond's flycatcher
22,Empidonax occidentalis,Cordilleran flycatcher
23,Rallus limicola,Virginia rail
24,Grus grus,Common crane
25,Quiscalus major,Boat-tailed grackle
26,Branta leucopsis,Barnacle goose
27,Cyanocorax yucatanicus,Yucatan jay
28,Cyanocorax yncas,Inca jay
29,Oceanites oceanicus,Wilson's storm petrel
30,Quiscalus niger,Greater Antillean grackle
31,Psilorhinus morio,Brown jay
32,Megarynchus pitangua,Boat-billed flycatcher
33,Gallinula tenebrosa,Dusky moorhen
34,Gallus gallus domesticus,Chicken
35,Numida meleagris,Helmeted guineafowl
36,Junco hyemalis caniceps,Dark-eyed junco
37,Tyrannus vociferans,Cassin's kingbird
38,Tyrannus tyrannus,Eastern kingbird
39,Tyrannus forficatus,Scissor-tailed flycatcher
40,Tyrannus crassirostris,Thick-billed kingbird
41,Tyrannus verticalis,Western kingbird
42,Tyrannus savana,Fork-tailed flycatcher
43,Gallirallus australis,Weka
44,Calocitta formosa,White-throated magpie-jay
45,Calocitta colliei,Black-throated magpie-jay
46,Fulica americana,American coot
47,Pachyramphus aglaiae,Rose-throated becard
48,Buteo lagopus,Rough-legged buzzard
49,Cygnus atratus,Black swan
50,Philesturnus rufusater,North Island saddleback
51,Larus marinus,Great black-backed gull
52,Pitangus sulphuratus,Great kiskadee
53,Anas rubripes,American black duck
54,Anthus novaeseelandiae novaeseelandiae,Australasian pipit
55,Sayornis phoebe,Eastern phoebe
56,Sayornis nigricans,Black phoebe
57,Tityra semifasciata,Masked tityra
58,Dryocopus lineatus,Lineated woodpecker
59,Porphyrio melanotus,Australasian swamphen
60,Anas bahamensis,White-cheeked pintail
61,Egretta novaehollandiae,White-faced heron
62,Anas crecca carolinensis,Green-winged teal
63,Alectoris chukar,Chukar partridge
64,Tachybaptus dominicus,Least grebe
65,Artemisiospiza belli,Bell's sparrow
